KeywordCount, Counter, Storage(Bytes)
1,1,1
2,3,2
3,5,3
4,7,4
5,9,5
6,11,6
7,13,7
8,15,8
9,17,9
10,19,10
11,21,11
12,23,12
13,25,13
14,27,14
15,29,15
16,31,16
17,33,17
18,35,18
19,37,19
20,39,20
21,41,21
22,43,22
23,45,23
24,47,24
25,50,25
26,53,26
27,56,27
28,59,28
29,62,29
30,65,30
31,68,31
32,71,32
33,74,33
34,77,34
35,80,35
36,83,36
37,86,37
38,89,38
39,92,39
40,95,40
41,98,41
42,101,42
43,104,43
44,107,44
45,110,45
46,113,46
47,116,47
48,119,48
49,122,49
50,125,50
51,128,51
52,131,52
53,134,53
54,137,54
55,140,55
56,143,56
57,146,57
58,149,58
59,152,59
60,155,60
61,158,61
62,161,62
63,164,63
64,167,64
65,170,65
66,173,66
67,176,67
68,179,68
69,182,69
70,185,70
71,188,71
72,191,72
73,194,73
74,197,74
75,200,75
76,203,76
77,206,77
78,209,78
79,212,79
80,215,80
81,218,81
82,221,82
83,224,83
84,227,84
85,230,85
86,233,86
87,236,87
88,239,88
89,242,89
90,245,90
91,248,91
92,251,92
93,254,93
94,257,188
95,260,190
96,263,192
97,266,194
98,269,196
99,272,198
100,275,200
101,278,202
102,281,204
103,284,206
104,287,208
105,290,210
106,293,212
107,296,214
108,299,216
109,302,218
110,305,220
111,308,222
112,311,224
113,314,226
114,317,228
115,320,230
116,323,232
117,326,234
118,329,236
119,332,238
120,335,240
121,338,242
122,341,244
123,344,246
124,347,248
125,350,250
126,353,252
127,356,254
128,359,256
129,362,258
130,365,260
131,368,262
132,371,264
133,374,266
134,377,268
135,380,270
136,383,272
137,386,274
138,389,276
139,392,278
140,395,280
141,398,282
142,401,284
143,404,286
144,407,288
145,410,290
146,413,292
147,416,294
148,419,296
149,422,298
150,425,300
151,428,302
152,431,304
153,434,306
154,437,308
155,440,310
156,443,312
157,446,314
158,449,316
159,452,318
160,455,320
161,458,322
162,461,324
163,464,326
164,467,328
165,470,330
166,473,332
167,476,334
168,479,336
169,482,338
170,485,340
171,488,342
172,491,344
173,494,346
174,497,348
175,500,350
176,503,352
177,506,354
178,509,356
179,512,358
180,515,360
181,518,362
182,521,364
183,524,366
184,527,368
185,530,370
186,533,372
187,536,374
188,539,376
189,542,378
190,545,380
191,548,382
192,551,384
193,554,386
194,557,388
195,560,390
196,563,392
197,566,394
198,569,396
199,572,398
200,575,400
201,578,402
202,581,404
203,584,406
204,587,408
205,590,410
206,593,412
207,596,414
208,599,416
209,602,418
210,605,420
211,608,422
212,611,424
213,614,426
214,617,428
215,620,430
216,623,432
217,626,434
218,629,436
219,632,438
220,635,440
221,638,442
222,641,444
223,644,446
224,647,448
225,650,450
226,653,452
227,656,454
228,659,456
229,662,458
230,665,460
231,668,462
232,671,464
233,674,466
234,677,468
235,680,470
236,683,472
237,686,474
238,689,476
239,692,478
240,695,480
241,698,482
242,701,484
243,704,486
244,707,488
245,710,490
246,713,492
247,716,494
248,719,496
249,722,498
250,725,500
251,728,502
252,731,504
253,734,506
254,737,508
255,740,510
256,743,512
257,746,514
258,749,516
259,752,518
260,755,520
261,758,522
262,761,524
263,764,526
264,767,528
265,770,530
266,773,532
267,776,534
268,779,536
269,782,538
270,785,540
271,788,542
272,791,544
273,794,546
274,797,548
275,800,550
276,803,552
277,806,554
278,809,556
279,812,558
280,815,560
281,818,562
282,821,564
283,824,566
284,827,568
285,830,570
286,833,572
287,836,574
288,839,576
289,842,578
290,845,580
291,848,582
292,851,584
293,854,586
294,857,588
295,860,590
296,863,592
297,866,594
298,869,596
299,872,598
300,875,600
301,878,602
302,881,604
303,884,606
304,887,608
305,890,610
306,893,612
307,896,614
308,900,616
309,904,618
310,908,620
311,912,622
312,916,624
313,920,626
314,924,628
315,928,630
316,932,632
317,936,634
318,940,636
319,944,638
320,948,640
321,952,642
322,956,644
323,960,646
324,964,648
325,968,650
326,972,652
327,976,654
328,980,656
329,984,658
330,988,660
331,992,662
332,996,664
333,1000,666
334,1004,668
335,1008,670
336,1012,672
337,1016,674
338,1020,676
339,1024,678
340,1028,680
341,1032,682
342,1036,684
343,1040,686
344,1044,688
345,1048,690
346,1052,692
347,1056,694
348,1060,696
349,1064,698
350,1068,700
351,1072,702
352,1076,704
353,1080,706
354,1084,708
355,1088,710
356,1092,712
357,1096,714
358,1100,716
359,1104,718
360,1108,720
361,1112,722
362,1116,724
363,1120,726
364,1124,728
365,1128,730
366,1132,732
367,1136,734
368,1140,736
369,1144,738
370,1148,740
371,1152,742
372,1156,744
373,1160,746
374,1164,748
375,1168,750
376,1172,752
377,1176,754
378,1180,756
379,1184,758
380,1188,760
381,1192,762
382,1196,764
383,1200,766
384,1204,768
385,1208,770
386,1212,772
387,1216,774
388,1220,776
389,1224,778
390,1228,780
391,1232,782
392,1236,784
393,1240,786
394,1244,788
395,1248,790
396,1252,792
397,1256,794
398,1260,796
399,1264,798
400,1268,800
401,1272,802
402,1276,804
403,1280,806
404,1284,808
405,1288,810
406,1292,812
407,1296,814
408,1300,816
409,1304,818
410,1308,820
411,1312,822
412,1316,824
413,1320,826
414,1324,828
415,1328,830
416,1332,832
417,1336,834
418,1340,836
419,1344,838
420,1348,840
421,1352,842
422,1356,844
423,1360,846
424,1364,848
425,1368,850
426,1372,852
427,1376,854
428,1380,856
429,1384,858
430,1388,860
431,1392,862
432,1396,864
433,1400,866
434,1404,868
435,1408,870
436,1412,872
437,1416,874
438,1420,876
439,1424,878
440,1428,880
441,1432,882
442,1436,884
443,1440,886
444,1444,888
445,1448,890
446,1452,892
447,1456,894
448,1460,896
449,1464,898
450,1468,900
451,1472,902
452,1476,904
453,1480,906
454,1484,908
455,1488,910
456,1492,912
457,1496,914
458,1500,916
459,1504,918
460,1508,920
461,1512,922
462,1516,924
463,1520,926
464,1524,928
465,1528,930
466,1532,932
467,1536,934
468,1540,936
469,1544,938
470,1548,940
471,1552,942
472,1556,944
473,1560,946
474,1564,948
475,1568,950
476,1572,952
477,1576,954
478,1580,956
479,1584,958
480,1588,960
481,1592,962
482,1596,964
483,1600,966
484,1604,968
485,1608,970
486,1612,972
487,1616,974
488,1620,976
489,1624,978
490,1628,980
491,1632,982
492,1636,984
493,1640,986
494,1644,988
495,1648,990
496,1652,992
497,1656,994
498,1660,996
499,1664,998
500,1668,1000
501,1672,1002
502,1676,1004
503,1680,1006
504,1684,1008
505,1688,1010
506,1692,1012
507,1696,1014
508,1700,1016
509,1704,1018
510,1708,1020
511,1712,1022
512,1716,1024
513,1720,1026
514,1724,1028
515,1728,1030
516,1732,1032
517,1736,1034
518,1740,1036
519,1744,1038
520,1748,1040
521,1752,1042
522,1756,1044
523,1760,1046
524,1764,1048
525,1768,1050
526,1772,1052
527,1776,1054
528,1780,1056
529,1784,1058
530,1788,1060
531,1792,1062
532,1796,1064
533,1800,1066
534,1804,1068
535,1808,1070
536,1813,1072
537,1818,1074
538,1823,1076
539,1828,1078
540,1833,1080
541,1838,1082
542,1843,1084
543,1848,1086
544,1853,1088
545,1858,1090
546,1863,1092
547,1868,1094
548,1873,1096
549,1878,1098
550,1883,1100
551,1888,1102
552,1893,1104
553,1898,1106
554,1903,1108
555,1908,1110
556,1913,1112
557,1918,1114
558,1923,1116
559,1928,1118
560,1933,1120
561,1938,1122
562,1943,1124
563,1948,1126
564,1953,1128
565,1958,1130
566,1963,1132
567,1968,1134
568,1973,1136
569,1978,1138
570,1983,1140
571,1988,1142
572,1993,1144
573,1998,1146
574,2003,1148
575,2008,1150
576,2013,1152
577,2018,1154
578,2023,1156
579,2028,1158
580,2033,1160
581,2038,1162
582,2043,1164
583,2048,1166
584,2053,1168
585,2058,1170
586,2063,1172
587,2068,1174
588,2073,1176
589,2078,1178
590,2083,1180
591,2088,1182
592,2093,1184
593,2098,1186
594,2104,1188
595,2110,1190
596,2116,1192
597,2122,1194
598,2128,1196
599,2134,1198
600,2140,1200
601,2146,1202
602,2152,1204
603,2158,1206
604,2164,1208
605,2170,1210
606,2176,1212
607,2182,1214
608,2188,1216
609,2194,1218
610,2200,1220
611,2206,1222
612,2212,1224
613,2218,1226
614,2224,1228
615,2230,1230
616,2236,1232
617,2242,1234
618,2248,1236
619,2254,1238
620,2260,1240
621,2266,1242
622,2272,1244
623,2278,1246
624,2284,1248
625,2290,1250
626,2296,1252
627,2302,1254
628,2308,1256
