KeywordCount, Counter, Storage(Bytes)
1,1,2
2,2,4
3,3,6
4,4,8
5,5,10
6,6,12
7,7,14
8,8,16
9,9,18
10,10,20
11,11,22
12,12,24
13,13,26
14,14,28
15,15,30
16,16,32
17,17,34
18,18,36
19,19,38
20,20,40
21,21,42
22,22,44
23,23,46
24,24,48
25,25,50
26,26,52
27,27,54
28,28,56
29,29,58
30,30,60
31,31,62
32,32,64
33,33,66
34,34,68
35,35,70
36,36,72
37,37,74
38,38,76
39,39,78
40,40,80
41,41,82
42,42,84
43,43,86
44,44,88
45,45,90
46,46,92
47,47,94
48,48,96
49,49,98
50,50,100
51,51,102
52,52,104
53,53,106
54,54,108
55,55,110
56,56,112
57,57,114
58,58,116
59,59,118
60,60,120
61,61,122
62,62,124
63,63,126
64,64,128
65,65,130
66,66,132
67,67,134
68,68,136
69,69,138
70,70,140
71,71,142
72,72,144
73,73,146
74,74,148
75,75,150
76,76,152
77,77,154
78,78,156
79,79,158
80,80,160
81,81,162
82,82,164
83,83,166
84,84,168
85,85,170
86,86,172
87,87,174
88,88,176
89,89,178
90,90,180
91,91,182
92,92,184
93,93,186
94,94,188
95,95,190
96,96,192
97,97,194
98,98,196
99,99,198
100,100,200
101,101,202
102,102,204
103,103,206
104,104,208
105,105,210
106,106,212
107,107,214
108,108,216
109,109,218
110,110,220
111,111,222
112,112,224
113,113,226
114,114,228
115,115,230
116,116,232
117,117,234
118,118,236
119,119,238
120,120,240
121,121,242
122,122,244
123,123,246
124,124,248
125,125,250
126,126,252
127,127,254
128,128,256
129,129,258
130,130,260
131,131,262
132,132,264
133,133,266
134,134,268
135,135,270
136,136,272
137,137,274
138,138,276
139,139,278
140,140,280
141,141,282
142,142,284
143,143,286
144,144,288
145,145,290
146,146,292
147,147,294
148,148,296
149,149,298
150,150,300
151,151,302
152,152,304
153,153,306
154,154,308
155,155,310
156,156,312
157,157,314
158,158,316
159,159,318
160,160,320
161,161,322
162,162,324
163,163,326
164,164,328
165,165,330
166,166,332
167,167,334
168,168,336
169,169,338
170,170,340
171,171,342
172,172,344
173,173,346
174,174,348
175,175,350
176,176,352
177,177,354
178,178,356
179,179,358
180,180,360
181,181,362
182,182,364
183,183,366
184,184,368
185,185,370
186,186,372
187,187,374
188,188,376
189,189,378
190,190,380
191,191,382
192,192,384
193,193,386
194,194,388
195,195,390
196,196,392
197,197,394
198,198,396
199,199,398
200,200,400
201,201,402
202,202,404
203,203,406
204,204,408
205,205,410
206,206,412
207,207,414
208,208,416
209,209,418
210,210,420
211,211,422
212,212,424
213,213,426
214,214,428
215,215,430
216,216,432
217,217,434
218,218,436
219,219,438
220,220,440
221,221,442
222,222,444
223,223,446
224,224,448
225,225,450
226,226,452
227,227,454
228,228,456
229,229,458
230,230,460
231,231,462
232,232,464
233,233,466
234,234,468
235,235,470
236,236,472
237,237,474
238,238,476
239,239,478
240,240,480
241,241,482
242,242,484
243,243,486
244,244,488
245,245,490
246,246,492
247,247,494
248,248,496
249,249,498
250,250,500
251,251,502
252,252,504
253,253,506
254,254,508
255,255,510
256,256,1024
257,257,1028
258,258,1032
259,259,1036
260,260,1040
261,261,1044
262,262,1048
263,263,1052
264,264,1056
265,265,1060
266,266,1064
267,267,1068
268,268,1072
269,269,1076
270,270,1080
271,271,1084
272,272,1088
273,273,1092
274,274,1096
275,275,1100
276,276,1104
277,277,1108
278,278,1112
279,279,1116
280,280,1120
281,281,1124
282,282,1128
283,283,1132
284,284,1136
285,285,1140
286,286,1144
287,287,1148
288,288,1152
289,289,1156
290,290,1160
291,291,1164
292,292,1168
293,293,1172
294,294,1176
295,295,1180
296,296,1184
297,297,1188
298,298,1192
299,299,1196
300,300,1200
301,301,1204
302,302,1208
303,303,1212
304,304,1216
305,305,1220
306,306,1224
307,307,1228
308,308,1232
309,309,1236
310,310,1240
311,311,1244
312,312,1248
313,313,1252
314,314,1256
315,315,1260
316,316,1264
317,317,1268
318,318,1272
319,319,1276
320,320,1280
321,321,1284
322,322,1288
323,323,1292
324,324,1296
325,325,1300
326,326,1304
327,327,1308
328,328,1312
329,329,1316
330,330,1320
331,331,1324
332,332,1328
333,333,1332
334,334,1336
335,335,1340
336,336,1344
337,337,1348
338,338,1352
339,339,1356
340,340,1360
341,341,1364
342,342,1368
343,343,1372
344,344,1376
345,345,1380
346,346,1384
347,347,1388
348,348,1392
349,349,1396
350,350,1400
351,351,1404
352,352,1408
353,353,1412
354,354,1416
355,355,1420
356,356,1424
357,357,1428
358,358,1432
359,359,1436
360,360,1440
361,361,1444
362,362,1448
363,363,1452
364,364,1456
365,365,1460
366,366,1464
367,367,1468
368,368,1472
369,369,1476
370,370,1480
371,371,1484
372,372,1488
373,373,1492
374,374,1496
375,375,1500
376,376,1504
377,377,1508
378,378,1512
379,379,1516
380,380,1520
381,381,1524
382,382,1528
383,383,1532
384,384,1536
385,385,1540
386,386,1544
387,387,1548
388,388,1552
389,389,1556
390,390,1560
391,391,1564
392,392,1568
393,393,1572
394,394,1576
395,395,1580
396,396,1584
397,397,1588
398,398,1592
399,399,1596
400,400,1600
401,401,1604
402,402,1608
403,403,1612
404,404,1616
405,405,1620
406,406,1624
407,407,1628
408,408,1632
409,409,1636
410,410,1640
411,411,1644
412,412,1648
413,413,1652
414,414,1656
415,415,1660
416,416,1664
417,417,1668
418,418,1672
419,419,1676
420,420,1680
421,421,1684
422,422,1688
423,423,1692
424,424,1696
425,425,1700
426,426,1704
427,427,1708
428,428,1712
429,429,1716
430,430,1720
431,431,1724
432,432,1728
433,433,1732
434,434,1736
435,435,1740
436,436,1744
437,437,1748
438,438,1752
439,439,1756
440,440,1760
441,441,1764
442,442,1768
443,443,1772
444,444,1776
445,445,1780
446,446,1784
447,447,1788
448,448,1792
449,449,1796
450,450,1800
451,451,1804
452,452,1808
453,453,1812
454,454,1816
455,455,1820
456,456,1824
457,457,1828
458,458,1832
459,459,1836
460,460,1840
461,461,1844
462,462,1848
463,463,1852
464,464,1856
465,465,1860
466,466,1864
467,467,1868
468,468,1872
469,469,1876
470,470,1880
471,471,1884
472,472,1888
473,473,1892
474,474,1896
475,475,1900
476,476,1904
477,477,1908
478,478,1912
479,479,1916
480,480,1920
481,481,1924
482,482,1928
483,483,1932
484,484,1936
485,485,1940
486,486,1944
487,487,1948
488,488,1952
489,489,1956
490,490,1960
491,491,1964
492,492,1968
493,493,1972
494,494,1976
495,495,1980
496,496,1984
497,497,1988
498,498,1992
499,499,1996
500,500,2000
501,501,2004
502,502,2008
503,503,2012
504,504,2016
505,505,2020
506,506,2024
507,507,2028
508,508,2032
509,509,2036
510,510,2040
511,511,2044
512,512,2048
513,513,2052
514,514,2056
515,515,2060
516,516,2064
517,517,2068
518,518,2072
519,519,2076
520,520,2080
521,521,2084
522,522,2088
523,523,2092
524,524,2096
525,525,2100
526,526,2104
527,527,2108
528,528,2112
529,529,2116
530,530,2120
531,531,2124
532,532,2128
533,533,2132
534,534,2136
535,535,2140
536,536,2144
537,537,2148
538,538,2152
539,539,2156
540,540,2160
541,541,2164
542,542,2168
543,543,2172
544,544,2176
545,545,2180
546,546,2184
547,547,2188
548,548,2192
549,549,2196
550,550,2200
551,551,2204
552,552,2208
553,553,2212
554,554,2216
555,555,2220
556,556,2224
557,557,2228
558,558,2232
559,559,2236
560,560,2240
561,561,2244
562,562,2248
563,563,2252
564,564,2256
565,565,2260
566,566,2264
567,567,2268
568,568,2272
569,569,2276
570,570,2280
571,571,2284
572,572,2288
573,573,2292
574,574,2296
575,575,2300
576,576,2304
577,577,2308
578,578,2312
579,579,2316
580,580,2320
581,581,2324
582,582,2328
583,583,2332
584,584,2336
585,585,2340
586,586,2344
587,587,2348
588,588,2352
589,589,2356
590,590,2360
591,591,2364
592,592,2368
593,593,2372
594,594,2376
595,595,2380
596,596,2384
597,597,2388
598,598,2392
599,599,2396
600,600,2400
601,601,2404
602,602,2408
603,603,2412
604,604,2416
605,605,2420
606,606,2424
607,607,2428
608,608,2432
609,609,2436
610,610,2440
611,611,2444
612,612,2448
613,613,2452
614,614,2456
615,615,2460
616,616,2464
617,617,2468
618,618,2472
619,619,2476
620,620,2480
621,621,2484
622,622,2488
623,623,2492
624,624,2496
625,625,2500
626,626,2504
627,627,2508
628,628,2512
629,629,2516
630,630,2520
631,631,2524
632,632,2528
633,633,2532
634,634,2536
635,635,2540
636,636,2544
637,637,2548
638,638,2552
639,639,2556
640,640,2560
641,641,2564
642,642,2568
643,643,2572
644,644,2576
645,645,2580
646,646,2584
647,647,2588
648,648,2592
649,649,2596
650,650,2600
651,651,2604
652,652,2608
653,653,2612
654,654,2616
655,655,2620
656,656,2624
657,657,2628
658,658,2632
659,659,2636
660,660,2640
661,661,2644
662,662,2648
663,663,2652
664,664,2656
665,665,2660
666,666,2664
667,667,2668
668,668,2672
669,669,2676
670,670,2680
671,671,2684
672,672,2688
673,673,2692
674,674,2696
675,675,2700
676,676,2704
677,677,2708
678,678,2712
679,679,2716
680,680,2720
681,681,2724
682,682,2728
683,683,2732
684,684,2736
685,685,2740
686,686,2744
687,687,2748
688,688,2752
689,689,2756
690,690,2760
691,691,2764
692,692,2768
693,693,2772
694,694,2776
695,695,2780
696,696,2784
697,697,2788
698,698,2792
699,699,2796
700,700,2800
701,701,2804
702,702,2808
703,703,2812
704,704,2816
705,705,2820
706,706,2824
707,707,2828
708,708,2832
709,709,2836
710,710,2840
711,711,2844
712,712,2848
713,713,2852
714,714,2856
715,715,2860
716,716,2864
717,717,2868
718,718,2872
719,719,2876
720,720,2880
721,721,2884
722,722,2888
723,723,2892
724,724,2896
725,725,2900
726,726,2904
727,727,2908
728,728,2912
729,729,2916
730,730,2920
731,731,2924
732,732,2928
733,733,2932
734,734,2936
735,735,2940
736,736,2944
737,737,2948
738,738,2952
739,739,2956
740,740,2960
741,741,2964
742,742,2968
743,743,2972
744,744,2976
745,745,2980
746,746,2984
747,747,2988
748,748,2992
749,749,2996
750,750,3000
751,751,3004
752,752,3008
753,753,3012
754,754,3016
755,755,3020
756,756,3024
757,757,3028
758,758,3032
759,759,3036
760,760,3040
761,761,3044
762,762,3048
763,763,3052
764,764,3056
765,765,3060
766,766,3064
767,767,3068
768,768,3072
769,769,3076
770,770,3080
771,771,3084
772,772,3088
773,773,3092
774,774,3096
775,775,3100
776,776,3104
777,777,3108
778,778,3112
779,779,3116
780,780,3120
781,781,3124
782,782,3128
783,783,3132
784,784,3136
785,785,3140
786,786,3144
787,787,3148
788,788,3152
789,789,3156
790,790,3160
791,791,3164
792,792,3168
793,793,3172
794,794,3176
795,795,3180
796,796,3184
797,797,3188
798,798,3192
799,799,3196
800,800,3200
